,Date_Time,HLAvg,MA,Returns
1027328,2001-01-01,124.22,124.2332142857143,-5.749538599451235e-06
1027330,2001-01-01,124.23,124.23285714285714,-2.874781696402217e-06
1027332,2001-01-01,124.22,124.23071428571428,-1.724886373156921e-05
1027334,2001-01-01,124.225,124.22928571428572,-1.149940778060474e-05
1027336,2001-01-01,124.225,124.2282142857143,-8.624642616402105e-06
1027338,2001-01-01,124.225,124.22678571428571,-1.1499639199152382e-05
1027340,2001-01-01,124.22,124.22500000000001,-1.4374734966001375e-05
1027342,2001-01-01,124.22,124.22321428571429,-1.4374941602015724e-05
1027344,2001-01-01,124.235,124.22392857142857,5.750001437585247e-06
1027346,2001-01-01,124.225,124.22321428571426,-5.750001437660107e-06
1027348,2001-01-01,124.225,124.22285714285715,-2.8750131169507828e-06
1027350,2001-01-01,124.215,124.2225,-2.8750213830290555e-06
1027352,2001-01-01,124.215,124.22178571428572,-5.750067563256744e-06
1027354,2001-01-01,124.21000000000001,124.22214285714286,2.8750379146199406e-06
1027356,2001-01-01,124.205,124.22107142857143,-8.625138541317273e-06
1027358,2001-01-01,124.215,124.22,-8.625212935006207e-06
1027360,2001-01-01,124.2,124.21857142857142,-1.1500399639059889e-05
1027362,2001-01-01,124.195,124.21642857142857,-1.7250847448339295e-05
1027364,2001-01-01,124.19999999999999,124.21464285714285,-1.4375933537486962e-05
1027366,2001-01-01,124.205,124.21321428571427,-1.1500895632459461e-05
1027368,2001-01-01,124.2,124.21178571428571,-1.1501027904397548e-05
1027370,2001-01-01,124.205,124.21071428571427,-8.625857733786735e-06
1027372,2001-01-01,124.19,124.2075,-2.587801964283397e-05
1027374,2001-01-01,124.2,124.2057142857143,-1.4376966948934165e-05
1027376,2001-01-01,124.2,124.20392857142858,-1.437717364923181e-05
1027378,2001-01-01,124.21000000000001,124.20357142857144,-2.875459534360624e-06
1027380,2001-01-01,124.215,124.20357142857142,-1.1102230246251565e-16
1027382,2001-01-01,124.19,124.20214285714287,-1.150192082074975e-05
1027384,2001-01-01,124.18,124.20035714285713,-1.4377587067591053e-05
1027386,2001-01-01,124.185,124.19821428571429,-1.7253377348975613e-05
1027388,2001-01-01,124.15,124.19464285714285,-2.87562904405238e-05
1027390,2001-01-01,124.2,124.19500000000001,2.8756662559685194e-06
1027392,2001-01-01,124.19999999999999,124.19500000000001,0.0
1027394,2001-01-01,124.195,124.19428571428571,-5.751340781448691e-06
1027396,2001-01-01,124.17500000000001,124.1925,-1.4378496670961249e-05
1027398,2001-01-01,124.16499999999999,124.18964285714287,-2.3006024703531104e-05
1027400,2001-01-01,124.16,124.1875,-1.7254865872761116e-05
1027402,2001-01-01,124.17500000000001,124.18571428571428,-1.4379282330249185e-05
1027404,2001-01-01,124.185,124.18464285714286,-8.627668645730763e-06
1027406,2001-01-01,124.17,124.18178571428571,-2.300748030812754e-05
